Company Name,Symbol,ISIN Code,Macro Sector,Sector,Industry,Basic Industry,Category,Justification
Pranav Constructions Ltd,PRANAVEQ,INE0H4201019,Real Estate,Construction,Realty,"Residential, Commercial Projects",Green,Residential and commercial real-estate development focused on housing-society redevelopment. Animal linkage is absent; the business involves property development and leasing with no animal-derived product line or food-service activity. (The Economic Times)
Prasol Chemicals Ltd,PRASOLCHEMEQ,INE455U01024,Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Green,"Manufactures chemical intermediates, solvents and customised additives using petrochemical/mineral-based chemistry. It does not manufacture finished insecticides or finished drugs, and customer industries are not counted as animal linkage. (The Economic Times)"
Glass Wall Systems (India) Ltd,GLASSWALLEQ,INE644Q01039,Construction Materials,Construction,Building Materials,Glass & Aluminium Products,Green,"Provides facade and fenestration solutions using glass, aluminium and steel, including curtain walls, skylights, cladding and doors/windows. No animal-derived input or animal-linked product line. (The Economic Times)"
Kanohar Electricals Ltd,KANOHAREQ,INE877D01025,Industrials,Capital Goods,Electrical Equipment,Transformers,Green,"Manufactures power, traction, Scott and distribution transformers and undertakes power-transmission and distribution EPC. Products use steel, copper, insulation and mineral oil with no animal-derived input or animal-linked product line. (The Economic Times)"
Asset Reconstruction Company (India) Ltd — ARCIL,ARCILEQ,INE148G01016,Financial Services,Financial Services,Finance,Other Financial Services,Orange,"Acquires and resolves stressed assets across a broad range of industries. Its capital exposure necessarily includes some animal-based borrowers, creating an indirect broad-economy animal linkage, while the company itself does not operate a direct animal-harm business. (Moneycontrol)"
Karamtara Engineering Ltd,KARAMTARA,INE590T01012,Industrials,Capital Goods,Electrical Equipment,Power Transmission Equipment,Green,"Manufactures solar mounting structures, tracker components, transmission towers, overhead-line hardware and fasteners, with expansion into wind-turbine towers. Steel engineering and infrastructure products have no animal-derived input or animal-industry product line. (Business Standard)"
LCC Projects Ltd,LCCPROJECT,INE1FPN01026,Industrials,Construction,Construction,Civil Construction,Green,"EPC contractor undertaking water-supply, irrigation, dam, canal, road and bridge projects using conventional construction materials such as cement and steel. Civil construction is animal-neutral with no animal-derived input. (The Economic Times)"
Manipal Payment and Identity Solutions Ltd,MPIMANIPALEQ,INE241U01028,Information Technology,Information Technology,IT — Services,Other IT Enabled Services,Green,"Manufactures payment cards, identity documents, NFC/QR products, wearables and secure-printing products and provides related infrastructure. Products are based on polymer, metal and paper; serving financial institutions and government clients is not counted as animal linkage. (The Economic Times)"
Rentomojo Ltd,RENTOMOJO,INE08T701025,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture & Home Appliances,Green,"Provides furniture and appliance rental and subscription services. Its products use wood, fabric, foam, metal and synthetic leatherette rather than animal hide; no animal-derived product line is identified. (The Economic Times)"
Steamhouse India Ltd,STEAMHOUSEEQ,INE0FRO01022,Industrials,Capital Goods,Industrial Products,Industrial Gases & Utilities,Green,Generates and distributes piped steam and nitrogen to industrial customers. Steam and industrial gases are inorganic utility products with no animal-derived input; customer industries are not counted. (The Economic Times)
